num_doc,wiki_text,viki_text
1,Gaudeixen d'autonomia legislativa i competències exclusives així com de la facultat d'administrar-se mitjançant llurs propis representants.,Això vol dir que les comunitats autònomes tenen el seu propi parlament i els seus propis polítics.
1,"Ja que la devolució d'autonomia a Espanya s'ha fet d'una manera asimètrica, no totes les comunitats autònomes gaudeixen de les mateixes competències autonòmiques. Una de les diferències principals és la competència fiscal, que divideix les autonomies en dos grups generals, amb diferències entre llurs membres: * les comunitats forals (Euskadi i Navarra), que gaudeixen d'autonomia fiscal; i * les comunitats de règim comú (la resta), que no gaudeixen d'autonomia fiscal","Tot i així, les comunitats autònomes no són independents del govern central (és a dir, el govern ""general"" de tot Espanya)."
1,"Una comunitat autònoma és un dels tres nivells d'autonomia en l'organització territorial d'Espanya, segons la constitució de l'Estat vigent; els altres dos són el municipi i la província.",Una comunitat autònoma és una regió d'Espanya que té una certa autonomia política.
2,"* El Parlament d'Andalusia és l'assemblea legislativa de la comunitat, les funcions principals de la qual són la proposició, elaboració i aprovació de les lleis, així com l'elecció del President de la Junta.","El Parlament d'Andalusia és l'Assemblea Legislativa Autonòmica, a la qual correspon l'elaboració i aprovació de les Lleis i l'elecció i cessament del President de la Junta d'Andalusia."
2,"Andalusia és dins del domini climàtic mediterrani, amb hiverns plujosos i estius secs i càlids.","La vegetació típica d'Andalusia és el bosc mediterrani, caracteritzat per vegetació de fulla perenne i xeròfila, adaptada al llarg del període estival de sequera."
2,"Andalusia és la comunitat més poblada d'Espanya, que el 2006, era superior als 7,9 milions d'habitants.",Andalusia és la comunitat autònoma espanyola amb més habitants.
2,L'organització institucional del govern d'Andalusia es denomina Junta d'Andalusia.,La Junta d'Andalusia és la institució principal en la qual s'organitza el govern.
2,La meitat de la població andalusa es concentra en les 28 ciutats amb més de 50.000 habitants.,Ciutats més poblades d'Andalusia
2,Política i govern La Junta d'Andalusia,L'Estatut d'Andalusia reglamenta les diferents institucions encarregades del govern i l'administració dins de la Comunitat.
3,"De la seva unió amb Catalunya sorgiria la Corona d'Aragó, que després es va ampliar amb les conquestes dels regnes de València i de Mallorca.","Units, però conservant cadascun la seva individualitat, Aragó i Catalunya (o Corona d'Aragó) van acabar la conquesta de Catalunya (presa de Tortosa a 1148). Retrat del rei Jaume II d'Aragó."
3,"El nom d'Aragó està documentat per primer cop durant l'alta edat mitjana l'any 828, quan un petit comtat d'origen franc sorgia entre els rius que porten el seu nom, l'Aragó, i el seu germà l'Aragó Subordan.",La Corona d'Aragó a mitjan segle XV. En la vall del riu Aragó (afluent de l'Ebre) viva gent dedicada a la ramaderia.
3,"Ferran d'Antequera fou l'elegit, de la branca castellana dels Trastàmara, però també directament entroncat amb el rei aragonès Pere IV El Cerimoniós, a través de la seva mare Elionor d'Aragó.","El comte de Barcelona Ramon Berenguer IV casant-se amb Peronella, hereva d'Aragó, va unir Aragó i Catalunya en 1137."
3,"La Corona d'Aragó arribaria a ser la potència hegemònica del Mediterrani, amb territoris tan importants com Nàpols o Sicília. El matrimoni de Ferran II d'Aragó amb Isabel I de Castella, celebrat el 1469 a Valladolid, derivà posteriorment en la unió de les dues corones, però mai van formar Espanya fins a Felip V.",La Corona d'Aragó va regnar al Llenguadoc i el Rosselló (sud del que ara és França) a la fi del segle XII.
3,"Més tard, sota el regnat de Ramir I s'ampliarien fronteres amb l'annexió del Regne de Sobrarbe i Ribagorça (any 1044), havent afegit anteriorment poblats del que avui coneixem per les Cinco Villas.","En 1035, Sanç el Gran, rei de Navarra, va deixar en herència Aragó al seu fill Ramir."
4,"El català és la llengua pròpia de les Illes Balears (així definida en el seu Estatut d'Autonomia) i cooficial, al costat del castellà, per ser-ho aquesta en tot l'Estat.",El català és la llengua pròpia de les Illes Balears (així definida en el seu Estatut d'Autonomia) i cooficial amb el castellà.
4,"El jove rei aragonès Jaume I el Conqueridor (tenia 21 anys) comanda una flota que desembarca a Mallorca a finals d'estiu de 1229. Després d'ardents combats que es van prolongar durant mesos, entra victoriós a la ciutat el 31 de desembre d'aquell any.",El jove rei aragonès Jaume I el Conqueridor comanda una flota que desembarca a Mallorca a finals de l'estiu de 1229 i entra victoriós a la ciutat el 31 de desembre d'aquell any.
4,"En temps de Justinià I, l'Imperi Romà d'Orient reconquereix el Regne Vàndal i les Illes queden sota el seu domini.","En temps de Justinià I, l'Imperi Bizantí conquereix el regne vàndal i les Illes queden sota el seu domini."
4,"Encara que amb menys impacte, l'italià és també un idioma freqüent, sobretot a Formentera, que compta amb un alt índex de turisme d'aquesta nacionalitat.","Encara que amb menys impacte, l'italià és també un idioma freqüent, sobretot a Formentera."
4,"La Corona d'Aragó, durant els segles i experimenta un fort procés d'expansió cap a la Mediterrània que la porta a fer seves les terres balears.",La Corona d'Aragó durant els segles XII i XIII experimenta un fort procés d'expansió cap a la Mediterrània que la porta a fer seves les terres balears.
4,Presenta uns trets dialectals propis.,El català de les Illes Balears té unes característiques dialectals pròpies.
5,"El País Basc (, 'país de llengua basca') és un país europeu.","El País Basc és un país petit, però tot i així és una de les regions més riques d'Espanya i de la Unió Europea."
5,"El poble basc té el seu propi idioma, el basc, a part de l'espanyol i el francès.","A més, el País Basc és l'única comunitat autònoma d'Espanya que té una Hisenda pròpia."
6,"Cantàbria s'assenta damunt d'estructures del Mesozoic, formades sobretot per calcàries cretàcies intensament plegades.",Cantàbria té molts jaciments arqueològics del Paleolític.
6,"Geografia Cantàbria és una zona muntanyenca i costanera, amb un important patrimoni natural.",Cantàbria té un clima oceànic a causa de la proximitat de l'oceà Atlàntic.
7,"El territori de la comunitat es pot dividir en set conques hidrogràfiques diferents: del Tajo, el Guadiana i el Guadalquivir que desemboquen a l'oceà Atlàntic, el Xúquer, el Segura, l'Ebre i el Túria, que desemboquen a la mar Mediterrània. El clima de Castella-la Manxa és mediterrani: els hiverns són molt freds i els estius, molt calorosos, acompanyats de sequera. De fet, la comunitat es troba en allò que es coneix com l'""Espanya Seca"".","Les zones muntanyenques més importants de Castella-la Manxa voregen en part els límits de la comunitat, i són el Sistema Central, que comprèn les serres de Ayllón, Pela i Alt Rei en el nord de Guadalajara, i la serra de Sant Vicent a la província de Toledo; el Sistema Ibèric, que cobreix part de les províncies de Conca i Guadalajara; les serres d'Alcaraz i de Segura a Albacete; el peu de Serra Bruna, que penetren a Ciudad Real (Sierra Madrona), i els Montes de Toledo, que s'estenen entre les províncies de Ciudad Real i Toledo."
7,Els vinyets i la ramaderia encara són l'activitat predominant dels municipis castellanomanxecs.,"A Castella-la Manxa encara encara hi ha un pes molt fort de l'agricultura i la ramaderia, malgrat no ser l'activitat principal."
7,"La Regió de Castella-la Manxa està dividida en 5 províncies: Albacete, Ciudad Real, Conca, Guadalajara i Toledo.","A la gran plana de La Manxa, una gran comarca natural que s'estén per bona part de les províncies de Ciudad Real, Albacete, Toledo i Conca, se suma La Alcarria, que abasta part de les províncies de Guadalajara i Conca i que té una altitud entorn dels 1000 msnm."
7,S'hi troben dues zones clarament diferenciades: la planura i la muntanya.,En la Comunitat existeixen dos tipus de paisatges: la plana i la muntanya.
8,* el Govern o Consell Executiu és l'òrgan superior col·legiat que dirigeix l'acció política i l'administració de la Generalitat.,"Govern: és el poder executiu, per tant s'encarrega de posar en pràctica les lleis."
8,* el Parlament de Catalunya: el poder legislatiu del govern català; al parlament es realitza el debat polític i es controla i impulsa l'acció política i de govern.,"Parlament de Catalunya: és el poder legislatiu, per tant és on s'aproven les lleis i es discuteix la política."
8,"* la Presidència de la Generalitat, encapçalada pel president. El president és la més alta representació de la Generalitat i alhora de l'Estat espanyol a Catalunya.",Presidència de la Generalitat: el president de la Generalitat és l'encarregat de dirigir el Govern.
8,"Al llarg del s'assajaren diferents mètodes de descentralització administrativa com la Mancomunitat de Catalunya o la Generalitat republicana, però no fou fins a la promulgació de la Constitució Espanyola de 1978 i l'aprovació de l'Estatut d'Autonomia quan es consolidà l'actual sistema espanyol de delegació politicoadministrativa en les comunitats autònomes.","Poc després que el Parlament fes la declaració d'independència, el Senat i el govern espanyol van intervenir la Generalitat, van dissoldre el Parlament i van convocar eleccions a Catalunya pel 21 de desembre."
8,Catalunya és la part més extensa del territori històric i cultural del Principat de Catalunya i és un dels territoris pertanyents a l'àmbit lingüístic dels Països Catalans.,Catalunya és un territori en disputa.
8,"El Parlament de Catalunya, recollint el sentiment i la voluntat de la ciutadania de Catalunya, ha definit Catalunya com a nació d'una manera àmpliament majoritària en el Preàmbul de l'Estatut d'autonomia.","D'una banda, el govern d'Espanya considera que és una comunitat autònoma, perquè així ho diu la Constitució espanyola i l'Estatut d'Autonomia de Catalunya."
8,"Entre les seves potestats, el Parlament aprova els pressupostos de la Generalitat. Està constituït per un mínim de 100 diputats i un màxim de 150, elegits per representació proporcional amb llistes de partits tancades, per un termini de quatre anys;","Els membres del Parlament es diuen ""diputats"", i al Parlament de Catalunya n'hi ha entre 100 i 150."
8,"La Generalitat de Catalunya està formada per diverses institucions de govern, entre elles:",La Generalitat de Catalunya és el govern de Catalunya. Està formada per aquestes institucions:
8,"La màxima institució del poder judicial a Catalunya recau sobre el Tribunal Superior de Justícia, segons l'Estatut del 2006.","A més de la Generalitat, també és important el Tribunal Superior de Justícia."
8,"Per contra, les zones més despoblades de Catalunya són les comarques pirinenques.",Els municipis són les regions administratives més petites de Catalunya.
8,"Tanmateix, la Constitució espanyola, en l'article segon, reconeix la realitat nacional de Catalunya com a nacionalitat.","D'altra banda, el Parlament de Catalunya va proclamar la República Catalana com a estat independent."
9,"Alguns dels pobles preromans que habitaren Extremadura són els vetons, a les províncies actuals de Càceres i Badajoz, a més d'Ávila i Toledo. Els lusitans habitaven gairebé tota l'actual Extremadura i el centre de Portugal. A prop del Guadalquivir vivien els beturis, principalment urbans i que no van oferir resistència a les tropes romanes quan hi arribaren.","Entre els pobles preromans més importants que van habitar Extremadura es van trobar els lusitans (Lusitani), que s'estenien per gairebé la totalitat de l'actual Extremadura i centre de Portugal, pobles pastors dedicats al pillatge i la guerra; cal destacar la imatge del líder lusità Viriat i la seva resistència fèrria enfront dels romans."
