num_doc,wiki_text,viki_text
1,"Actualmente, Tokelau sigue siendo territorio de Nueva Zelanda, administrado bajo el Acta de Tokelau de 1948.",Actualmente es un territorio de Nueva Zelanda.
1,"Demografía Los menos de 1.500 habitantes en Tokelau son de origen polinesio, y habitan en tres aldeas donde se habla tokelauano e inglés.",1 405 personas viven en Tokelau (datos de 2004).
1,Los primeros pobladores de Tokelau fueron marineros de origen polinesio provenientes de los grupos de islas cercanos.,Tokelau es un grupo de islas ubicadas en el Océano Pacífico.
1,Ninguna de las islas de Tokelau tiene puerto. Su capital es Fakaofo.,Tokelau no tiene una ciudad capital oficial.
2,"Doyle escribió que sus 56 relatos y cuatro novelas sobre Sherlock Holmes opacaron el resto de su obra: “Entre veinte y treinta obras de ficción, libros de historia sobre dos guerras, varios títulos de ciencia paranormal, tres de viajes, uno sobre literatura, varias obras de teatro, dos libros de criminología, dos panfletos políticos, tres poemarios, un libro sobre la infancia y una autobiografía”.","Hizo varios libros sobre Holmes, e incluso varios cuentos pequeños."
2,Mientras estudiaba medicina comenzó a escribir historias cortas.,"Mientras estudiaba, también escribía pequeños cuentos."
4,"El feto es un vertebrado vivíparo en desarrollo, el cual transcurre desde el momento en que se ha completado la etapa embrionaria hasta antes de que se produzca el nacimiento, convirtiéndose en un neonato.",Un feto es la etapa por la que pasa un organismo antes de nacer como un bebé.
4,En el ser humano el cambio de embrión a feto se produce aproximadamente luego de ocho semanas de embarazo.,"En los humanos se dice que es el tiempo de desarrollo después de la etapa embrionaria, que es de la tercera a la octava semana de desarrollo después de la fertilización."
6,El hemisferio sur (o austral o meridional) es una de las divisiones geodésicas clásicas en que se divide el planeta Tierra.,El hemisferio sur (o austral o meridional) es una de las divisiones en que se divide el planeta Tierra.
7,"Cronológicamente, se entiende como un periodo que va desde el inicio de las civilizaciones históricas en torno al IV milenio a. C. (en esta zona la aparición de la escritura, las ciudades y los templos es simultánea a la Edad del Bronce) hasta la expansión del Imperio aqueménida en el siglo VI a. C.","Es un periodo de tiempo bastante largo (de alrededor de 3000 años de duración), y contiene a la llamada Antigüedad clásica: el periodo de tiempo en que florecieron las civilizaciones griega y romana."
